SN,Date,Venue,City,State,Country,Set 1,Set 2,Set 3,Encore,Show Number
98,9/26/69,Fillmore East,New York,NY,US,"Dark Star> , Saint Stephen> , The Eleven> , Im A King Bee> , Death Dont Have No Mercy",No Set 2,No Set 3,No Encore,1
99,9/27/69,Fillmore East,New York,NY,US,"Morning Dew, Mama Tried, Next Time You See Me, Casey Jones, China Cat Sunflower> , Jam> , High Time, Dire Wolf, Me And My Uncle",No Set 2,No Set 3,No Encore,1
100,9/28/69,Caf' au Go,New York,NY,US,"Doin That Rag, The Seven, Good Lovin, Saint Stephen, The Eleven",No Set 2,No Set 3,No Encore,1
101,9/29/69,Caf' au Go,New York,NY,US,"Alligator, Drums, The Other One, China Cat Sunflower, I Know You Rider",No Set 2,No Set 3,No Encore,1
102,9/30/69,Caf' au Go,New York,NY,US,"China Cat Sunflower> , Jam> , I Know You Rider, Alligator> , Drums> , The Other One> , Death Dont Have No Mercy",No Set 2,No Set 3,No Encore,1
103,10/23/69,Winterland Arena,San Francisco,CA,US,"Casey Jones, Dire Wolf, High Time, Easy Wind, Hard To Handle, China Cat Sunflower, I Know You Rider, Cryptical Envelopment, Drums, The Other One, Cryptical Envelopment, Cosmic Charlie, Mama Tried, Good Lovin",No Set 2,No Set 3,No Encore,1
104,10/25/69,Winterland Arena,San Francisco,CA,US,"High Time, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
105,10/26/69,Winterland Arena,San Francisco,CA,US,"Jam, Hard To Handle, Cold Rain And Snow, Me And My Uncle, Next Time You See Me, Dire Wolf, Casey Jones, Easy Wind",No Set 2,No Set 3,No Encore,1
106,10/31/69,San Jose State University,San Jose,CA,US,"Casey Jones, Dire Wolf, It Hurts Me Too, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , China Cat Sunflower> , Jam> , I Know You Rider, High Time, Sittin On Top Of The World, Next Time You See Me> , Easy Wind, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
107,11/1/69,Family Dog at the Great Highway,San Francisco,CA,US,"Morning Dew, Dire Wolf> , Cold Rain And Snow, Hard To Handle, Mama Tried> , High Time, Good Lovin> , Drums> , Good Lovin, Easy Wind","He Was A Friend Of Mine> , China Cat Sunflower> , Jam> , I Know You Rider> , Casey Jones, Alligator> , Drums> , Jam> , And We Bid You Good Night Jam> , Uncle Johns Band Jam> , Turn On Your Lovelight",No Set 3,No Encore,1
108,11/2/69,Family Dog at the Great Highway,San Francisco,CA,US,"Cold Rain And Snow, In The Midnight Hour, Seasons Of My Heart, Mama Tried, Next Time You See Me, Good Lovin, Big Boss Man, Casey Jones, Dancing In The Street, Dark Star> , Saint Stephen> , The Eleven> , Death Dont Have No Mercy",No Set 2,No Set 3,No Encore,1
109,11/7/69,Fillmore Auditorium,San Francisco,CA,US,"Morning Dew, Mama Tried, Star Spangled Banner, Next Time You See Me, Good Lovin> , Drums> , Good Lovin, China Cat Sunflower> , Jam> , I Know You Rider> , Dark Star> , Uncle Johns Band Jam> , Dark Star> , Cryptical Envelopment> , Drums> , The Other One> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
110,11/8/69,Fillmore Auditorium,San Francisco,CA,US,"Good Morning Little Schoolgirl, Casey Jones, Dire Wolf, Easy Wind, China Cat Sunflower> , Jam> , I Know You Rider> , High Time, Mama Tried, Good Lovin> , Drums> , Good Lovin, Cumberland Blues","Dark Star> , The Other One> , Dark Star> , Uncle Johns Band Jam> , Dark Star> , Saint Stephen> , The Eleven> , Caution (Do Not Stop On Tracks)> , Jam> , The Main Ten Jam> , Caution (Do Not Stop On Tracks)> , Space> , Feedback> , And We Bid You Good Night",No Set 3,No Encore,1
111,11/14/69,Lanai Theater,Crockett,CA,US,"Casey Jones, Me And My Uncle, Easy Wind, Cumberland Blues, China Cat Sunflower, I Know You Rider, High Time, Next Time You See Me, Mama Tried, Big Boss Man, Cosmic Charlie, Dire Wolf, Cold Rain And Snow, Good Lovin, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
112,11/21/69,Building A,Sacramento,CA,US,"Casey Jones, Good Morning Little Schoolgirl, Cold Rain And Snow, Cumberland Blues, Easy Wind","Good Lovin> , Drums> , Good Lovin, China Cat Sunflower> , Jam> , I Know You Rider, High Time, Me And My Uncle> , Turn On Your Lovelight",No Set 3,No Encore,1
113,12/4/69,Fillmore West,San Francisco,CA,US,"Casey Jones, Black Peter, Big Boss Man, Me And My Uncle, Cumberland Blues, Dire Wolf> , Dark Star> , High Time, Good Morning Little Schoolgirl> , Good Lovin> , Drums> , Good Lovin, China Cat Sunflower> , Jam> , I Know You Rider, Uncle Johns Band",No Set 2,No Set 3,No Encore,1
114,12/5/69,Fillmore West,San Francisco,CA,US,"Me And My Uncle> , Casey Jones, Black Peter, Mama Tried, It Hurts Me Too, Cumberland Blues, Cryptical Envelopment> , Drums> , The Other One> , The Eleven Jam> , The Other One> , Cryptical Envelopment> , Cosmic Charlie> , Dancing In The Street> , Dire Wolf> , China Cat Sunflower> , Dancing In The Street, Dire Wolf, China Cat Sunflower> , Jam> , I Know You Rider> , High Time> , Uncle Johns Band Jam> , The Main Ten Jam> , Its All Over Now, Baby Blue",No Set 2,No Set 3,No Encore,1
115,12/7/69,Fillmore West,San Francisco,CA,US,"Black Peter, Hard To Handle, Cumberland Blues, Mama Tried> , Easy Wind, Dancing In The Street> , Good Lovin> , Drums> , Good Lovin, China Cat Sunflower> , Jam> , I Know You Rider> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
116,12/10/69,Thelma Theater,Los Angeles,CA,US,"China Cat Sunflower> , I Know You Rider, Black Peter, Me And My Uncle, Cold Rain And Snow, Mama Tried> , High Time, Easy Wind, Casey Jones, Good Morning Little Schoolgirl, Morning Dew, Black Queen> , Turn On Your Lovelight","Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Cosmic Charlie",No Set 3,No Encore,1
117,12/11/69,Thelma Theater,Los Angeles,CA,US,"Casey Jones, Cold Rain And Snow, Mama Tried, Dire Wolf, It Hurts Me Too, China Cat Sunflower> , Jam> , I Know You Rider> , Black Peter, Me And My Uncle, Hard To Handle, Dark Star> , Saint Stephen> , The Eleven> , Cumberland Blues","Morning Dew, Next Time You See Me> , Sittin On Top Of The World, Beat It On Down The Line, Big Boss Man, Good Lovin> , Drums> , Good Lovin, High Time, Dancing In The Street, Easy Wind, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Cosmic Charlie",No Set 3,No Encore,1
118,12/12/69,Thelma Theater,Los Angeles,CA,US,"Cold Rain And Snow, Me And My Uncle, Easy Wind, Cumberland Blues, Black Peter, Next Time You See Me, China Cat Sunflower> , Jam> , I Know You Rider, Turn On Your Lovelight","Hard To Handle, Casey Jones, Mama Tried> , High Time, Dire Wolf, Good Lovin> , Drums> , Good Lovin, Im A King Bee, Uncle Johns Band> , Jam> , He Was A Friend Of Mine> , Alligator> , Drums> , Caution (Do Not Stop On Tracks)> , And We Bid You Good Night Jam> , Caution (Do Not Stop On Tracks)> , Feedback> , And We Bid You Good Night",No Set 3,No Encore,1
119,12/13/69,Swing Auditorium,San Bernardino,CA,US,"Casey Jones, Hard To Handle, Black Peter, Mama Tried> , China Cat Sunflower> , Jam> , I Know You Rider> , High Time, Good Lovin> , Drums> , Good Lovin> , Cumberland Blues, Saint Stephen> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
120,12/19/69,Fillmore Auditorium,San Francisco,CA,US,"Monkey And The Engineer, Little Sadie, Long Black Limousine, Ive Been All Around This World, Masons Children, Black Peter, Hard To Handle, Cumberland Blues, Casey Jones, Good Lovin> , Drums> , Good Lovin, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Uncle Johns Band> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
121,12/20/69,Fillmore Auditorium,San Francisco,CA,US,"Masons Children, China Cat Sunflower> , Jam> , I Know You Rider> , High Time","The Eleven> , New Speedway Boogie> , Turn On Your Lovelight",No Set 3,No Encore,1
122,12/21/69,Fillmore Auditorium,San Francisco,CA,US,"Smokestack Lightnin> , New Speedway Boogie, Dire Wolf, Masons Children, China Cat Sunflower> , I Know You Rider> , Black Peter, Not Fade Away, Good Lovin> , Drums> , The Other One> , Cumberland Blues",No Set 2,No Set 3,No Encore,1
123,12/26/69,McFarlin Auditorium,Dallas,TX,US,"Monkey And The Engineer, Little Sadie, Long Black Limousine, Ive Been All Around This World, Gathering Flowers For The Masters Bouquet, Black Peter, Uncle Johns Band, Casey Jones, Hard To Handle, Cold Rain And Snow, China Cat Sunflower> , Jam> , I Know You Rider> , High Time, Me And My Uncle, Dark Star, New Speedway Boogie, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
124,12/27/69,International Speedway,Hollywood,FL,US,"Black Peter, Me And My Uncle, China Cat Sunflower, I Know You Rider, High Time, Cumberland Blues, Good Lovin, Cold Rain And Snow, Hard To Handle, Masons Children, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
125,12/28/69,Boston Tea Party,Boston,MA,US,"Cold Rain And Snow, Mama Tried, Black Peter, Easy Wind, Me And My Uncle, China Cat Sunflower, I Know You Rider, High Time, Hard To Handle, Masons Children","Cumberland Blues, Casey Jones, Good Lovin, Dancing In The Street, Dire Wolf, Saint Stephen, Not Fade Away",No Set 3,No Encore,1
126,12/29/69,Boston Tea Party,Boston,MA,US,"Good Lovin, Mama Tried, New Speedway Boogie, Casey Jones, Black Peter, Me And My Uncle, In The Midnight Hour, Cumberland Blues, Cryptical Envelopment, Drums, The Other One, Cryptical Envelopment, Cosmic Charlie","Uncle Johns Band, Masons Children, China Cat Sunflower, I Know You Rider, Dark Star, Alligator, Drums, The Eleven, Alligator, Feedback, And We Bid You Good Night",No Set 3,No Encore,1
127,12/30/69,Boston Tea Party,Boston,MA,US,"China Cat Sunflower, I Know You Rider, Mama Tried, Next Time You See Me, Cold Rain And Snow, Black Peter, Hard To Handle, Me And My Uncle, Masons Children, Dire Wolf, Uncle Johns Band, Alligator, Drums, Good Lovin, The Eleven, High Time, Cumberland Blues, Big Boy Pete, Not Fade Away, Seasons Of My Heart, The Race Is On, Silver Threads And Golden Needle, Ol Slewfoot, Dancing In The Street",No Set 2,No Set 3,No Encore,1
128,12/31/69,Boston Tea Party,Boston,MA,US,"China Cat Sunflower> , Jam> , I Know You Rider, Mama Tried, Next Time You See Me, Cold Rain And Snow, Black Peter, Hard To Handle, Me And My Uncle, Masons Children, Dire Wolf, Uncle Johns Band","Alligator> , Drums> , Alligator> , Jam> , And We Bid You Good Night Jam> , Alligator> , Caution (Do Not Stop On Tracks)> , Feedback> , Good Lovin> , Drums> , The Eleven, High Time, Cumberland Blues, Big Boy Pete, Not Fade Away, Seasons Of My Heart, The Race Is On, Silver Threads And Golden Needle, Ol Slewfoot, Dancing In The Street",No Set 3,No Encore,1
129,1/2/70,Fillmore East,New York,NY,US,"Masons Children, Casey Jones, Black Peter, Mama Tried> , Hard To Handle, Cumberland Blues, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Cosmic Charlie",No Set 2,No Set 3,No Encore,1
130,1/2/70,Fillmore East,New York,NY,US,"Uncle Johns Band> , High Time, Dire Wolf, Easy Wind, China Cat Sunflower> , I Know You Rider, Good Lovin> , Me And My Uncle, Monkey And The Engineer, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,2
131,1/3/70,Fillmore East,New York,NY,US,"Morning Dew, Me And My Uncle, Hard To Handle, Cumberland Blues, Cold Rain And Snow, Alligator, Drums, Alligator, Feedback",Uncle Johns Band,No Set 3,No Encore,1
132,1/10/70,Golden Hall,San Diego,CA,US,"China Cat Sunflower, I Know You Rider, Me And My Uncle, Dire Wolf, Hard To Handle, Casey Jones, Masons Children, Black Peter, Good Lovin, Cold Rain And Snow, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
133,1/16/70,Springer's Inn,Portland,OR,US,"Casey Jones, Mama Tried, Black Peter, Hard To Handle, China Cat Sunflower, I Know You Rider, High Time, Good Lovin, Dancing In The Street, Alligator, Drums, The Eleven, Death Dont Have No Mercy, Cumberland Blues, Me And My Uncle, Dire Wolf, Uncle Johns Band, Easy Wind, Cryptical Envelopment, Drums, The Other One, Cryptical Envelopment, Cosmic Charlie",No Set 2,No Set 3,No Encore,1
134,1/17/70,Oregon State University,Corvallis,OR,US,"Dire Wolf, China Cat Sunflower, I Know You Rider, Hard To Handle, Cumberland Blues, Me And My Uncle, Black Peter, Good Lovin, Masons Children, High Time, Dark Star, Saint Stephen, The Eleven, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
135,1/18/70,Springer's Inn,Portland,OR,US,"Mama Tried, Cold Rain And Snow, Big Boss Man, Masons Children, Black Peter, Dancing In The Street, Me And My Uncle, Good Lovin, China Cat Sunflower, I Know You Rider, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
136,1/23/70,Honolulu Civic Auditorium,Honolulu,HI,US,"China Cat Sunflower, I Know You Rider, Black Peter, Hard To Handle, Mama Tried, Dire Wolf, Good Lovin, Cryptical Envelopment, Drums, The Other One, Cryptical Envelopment, Dark Star, Saint Stephen, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
137,1/24/70,Honolulu Civic Auditorium,Honolulu,HI,US,"Cumberland Blues, Cold Rain And Snow, Me And My Uncle, Im A King Bee, Masons Children, Black Peter, Good Lovin",No Set 2,No Set 3,No Encore,1
138,1/30/70,The Warehouse,New Orleans,LA,US,"Casey Jones, Me And My Uncle, Black Peter, Hard To Handle, China Cat Sunflower, I Know You Rider, High Time, Cumberland Blues, Easy Wind, Mama Tried, Good Lovin, Cryptical Envelopment, Drums, The Other One, Cryptical Envelopment, Cosmic Charlie",No Set 2,No Set 3,No Encore,1
139,1/31/70,The Warehouse,New Orleans,LA,US,"Cold Rain And Snow, Mama Tried, Dire Wolf, Big Boss Man, Morning Dew, Masons Children, Me And My Uncle, Hard To Handle, Long Black Limousine, Seasons Of My Heart, Sawmill, Old, Old House, The Race Is On, Black Peter, Little Sadie, Ive Been All Around This World, Katie Mae, Cumberland Blues",No Set 2,No Set 3,No Encore,1
140,2/1/70,The Warehouse,New Orleans,LA,US,"Beat It On Down The Line, China Cat Sunflower, I Know You Rider, Black Peter, Cumberland Blues, Good Lovin, Me And My Uncle, Cold Rain And Snow, High Time, Dire Wolf, Cryptical Envelopment, Drums, The Other One, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
141,2/2/70,Fox Theatre,St. Louis,MO,US,"Cumberland Blues, Dark Star, Saint Stephen, Masons Children, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
142,2/4/70,Family Dog at the Great Highway,San Francisco,CA,US,"Cold Rain And Snow, Hard To Handle, Black Peter, Me And My Uncle, China Cat Sunflower, I Know You Rider",No Set 2,No Set 3,No Encore,1
143,2/5/70,Fillmore West,San Francisco,CA,US,"China Cat Sunflower, I Know You Rider, The Race Is On, Big Boss Man, Black Peter, Masons Children, The Eleven, Caution (Do Not Stop On Tracks), Not Fade Away, Cumberland Blues, Uncle Johns Band",No Set 2,No Set 3,No Encore,1
144,2/6/70,Fillmore West,San Francisco,CA,US,"Cumberland Blues, Cold Rain And Snow, Dire Wolf, Me And My Uncle, Hard To Handle, Dancing In The Street, Casey Jones, Mama Tried, Good Lovin, High Time, Cryptical Envelopment, Drums, The Other One, Cryptical Envelopment, Black Peter, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
145,2/7/70,Fillmore West,San Francisco,CA,US,"Green Green Grass Of Home, Sawmill, Seasons Of My Heart, China Cat Sunflower, I Know You Rider, High Time, Big Boss Man, Me And My Uncle, Cold Rain And Snow, Uncle Johns Band, Black Peter, Good Lovin",No Set 2,No Set 3,No Encore,1
146,2/8/70,Fillmore West,San Francisco,CA,US,"Smokestack Lightnin, Morning Dew, Dire Wolf, Me And My Uncle, Sittin On Top Of The World, China Cat Sunflower, I Know You Rider, It Hurts Me Too, Dark Star, Saint Stephen, Not Fade Away, Saint Stephen, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
147,2/11/70,Fillmore East,New York,NY,US,"Black Peter, Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Dire Wolf, Casey Jones",No Set 2,No Set 3,No Encore,1
148,2/11/70,Fillmore East,New York,NY,US,"Not Fade Away, Cumberland Blues, Cold Rain And Snow, High Time, Me And My Uncle, Dark Star> , Spanish Jam> , Turn On Your Lovelight",Uncle Johns Band,No Set 3,No Encore,2
149,2/13/70,Fillmore East,New York,NY,US,"Cold Rain And Snow, Beat It On Down The Line, Good Lovin> , Drums> , Good Lovin, Mama Tried> , Black Peter, Hard To Handle, Saint Stephen> , Not Fade Away",Casey Jones,No Set 3,No Encore,1
150,2/13/70,Fillmore East,New York,NY,US,"China Cat Sunflower> , I Know You Rider, Me And My Uncle, Dire Wolf, Smokestack Lightnin, Monkey And The Engineer, Little Sadie, Wake Up Little Susie> , Black Peter, Uncle Johns Band, Katie Mae, Dark Star> , Cryptical Envelopment> , Drums> , The Other One> , Cryptical Envelopment> , Turn On Your Lovelight",And We Bid You Good Night,No Set 3,No Encore,2
151,2/14/70,Fillmore East,New York,NY,US,"Cold Rain And Snow, Dark Star> , Saint Stephen> , The Eleven> , Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
152,2/14/70,Fillmore East,New York,NY,US,"Casey Jones, Mama Tried, Hard To Handle, Monkey And The Engineer, Dark Hollow, Ive Been All Around This World, Wake Up Little Susie> , Black Peter, Uncle Johns Band, Katie Mae, Dancing In The Street, China Cat Sunflower> , I Know You Rider> , High Time> , Dire Wolf, Alligator> , Drums> , Me And My Uncle, Not Fade Away> , Masons Children> , Caution (Do Not Stop On Tracks)> , Feedback> , And We Bid You Good Night",No Set 2,No Set 3,No Encore,2
153,2/27/70,Family Dog at the Great Highway,San Francisco,CA,US,"Cold Rain And Snow, Mama Tried, Dancing In The Street, Easy Wind, Black Peter, Good Lovin, China Cat Sunflower, I Know You Rider, High Time, Hard To Handle, Casey Jones, Cumberland Blues, Not Fade Away, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
154,2/28/70,Family Dog at the Great Highway,San Francisco,CA,US,"Turn On Your Lovelight, Me And My Uncle, Cumberland Blues","Monkey And The Engineer, Little Sadie",No Set 3,"China Cat Sunflower, I Know You Rider, High Time, Dire Wolf, Good Lovin, Big Boss Man, Casey Jones, Alligator, Drums, The Other One, Masons Children, Turn On Your Lovelight, Uncle Johns Band",1
155,3/7/70,Santa Monica Civic Auditorium,Santa Monica,CA,US,"Black Peter, China Cat Sunflower, I Know You Rider, High Time, Dire Wolf, Not Fade Away, Drums, Good Lovin, The Other One, Not Fade Away, Turn On Your Lovelight",Me And My Uncle,No Set 3,No Encore,1
156,3/8/70,Star Theatre,Phoenix,AZ,US,"Cold Rain And Snow, Yellow Dog Story, China Cat Sunflower, I Know You Rider, High Time, Dire Wolf, Hard To Handle, Monkey And The Engineer, Ive Been All Around This World, Me And My Uncle, Black Peter, Katie Mae, Wake Me Shake Me, Not Fade Away, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
157,3/17/70,Kleinhans Music Hall,Buffalo,NY,US,"Dark Star> , Drums, Turn On Your Lovelight",No Set 2,No Set 3,No Encore,1
158,3/20/70,Capitol Theater,Port Chester,NY,US,"Casey Jones, Me And My Uncle, China Cat Sunflower> , I Know You Rider, Hard To Handle, Deep Elem Blues, Friend Of The Devil, Dont Ease Me In> , Black Peter, Uncle Johns Band, Katie Mae> , Good Lovin> , Drums> , Not Fade Away> , Drums> , Good Lovin, Viola Lee Blues, High Time, Turn On Your Lovelight",And We Bid You Good Night,No Set 3,No Encore,2
